Origin,Site,ID,Treatment,Lipids
N,N,N1,Before,0.241509434
N,N,N2,Before,0.315243902
N,N,N3,Before,0.051777916
N,N,N4,Before,0.047943649
N,N,N5,Before,0.124886673
N,N,N1,After,0.198697068
N,N,N2,After,0.204620462
N,N,N3,After,0.195422535
N,N,N4,After,0.129466901
N,N,N5,After,0.269744836
N,O,N1,Before,0.241509434
N,O,N2,Before,0.315243902
N,O,N3,Before,0.051777916
N,O,N4,Before,0.047943649
N,O,N5,Before,0.124886673
N,O,N1,After,0.182370821
N,O,N2,After,0.216894977
N,O,N3,After,0.278154681
N,O,N4,After,0.274886878
N,O,N5,After,0.128904032
O,N,C1,Before,0.122983871
O,N,C2,Before,0.120893142
O,N,C3,Before,0.132611637
O,N,C4,Before,0.103747398
O,N,C5,Before,0.108048512
O,N,C1,After,0.33
O,N,C2,After,0.309236948
O,N,C3,After,0.201646091
O,N,C4,After,0.228310502
O,N,C5,After,0.336134454
O,O,C1,Before,0.122983871
O,O,C2,Before,0.120893142
O,O,C3,Before,0.132611637
O,O,C4,Before,0.103747398
O,O,C5,Before,0.108048512
O,O,C1,After,0.204738761
O,O,C2,After,0.17704918
O,O,C3,After,0.208133971
O,O,C4,After,0.193069307
O,O,C5,After,0.170513775