Site,Indiv,Origin,Treatment,Thickness
N,N1,N,NN,2.97
N,N1,N,NN,2.98
N,N1,N,NN,2.85
N,N1,N,NN,2.75
N,N1,N,NN,3.18
N,N1,N,NN,2.79
N,N1,N,NN,3.13
N,N1,N,NN,2.9
N,N1,N,NN,3.07
N,N1,N,NN,2.87
N,N2,N,NN,2.85
N,N2,N,NN,2.86
N,N2,N,NN,2.75
N,N2,N,NN,2.55
N,N2,N,NN,2.75
N,N2,N,NN,3.04
N,N2,N,NN,2.82
N,N2,N,NN,2.84
N,N2,N,NN,2.99
N,N2,N,NN,2.75
N,N3,N,NN,3.89
N,N3,N,NN,4.11
N,N3,N,NN,4.39
N,N3,N,NN,4.01
N,N3,N,NN,4.45
N,N3,N,NN,3.85
N,N3,N,NN,3.38
N,N3,N,NN,3.89
N,N3,N,NN,3.9
N,N3,N,NN,3.56
N,N4,N,NN,2.3
N,N4,N,NN,2.12
N,N4,N,NN,2.32
N,N4,N,NN,2.36
N,N4,N,NN,2.56
N,N4,N,NN,2.2
N,N4,N,NN,2.1
N,N4,N,NN,2.72
N,N4,N,NN,2.4
N,N4,N,NN,2.51
N,N5,N,NN,2.75
N,N5,N,NN,2.65
N,N5,N,NN,3.17
N,N5,N,NN,2.87
N,N5,N,NN,2.56
N,N5,N,NN,2.81
N,N5,N,NN,3.3
N,N5,N,NN,3.39
N,N5,N,NN,3.56
N,N5,N,NN,3.09
N,C1,O,ON,2.76
N,C1,O,ON,2.76
N,C1,O,ON,2.6
N,C1,O,ON,2.42
N,C1,O,ON,2.42
N,C1,O,ON,1.94
N,C1,O,ON,2.15
N,C1,O,ON,2.35
N,C1,O,ON,2.35
N,C1,O,ON,2.75
N,C2,O,ON,2.17
N,C2,O,ON,1.96
N,C2,O,ON,2.23
N,C2,O,ON,2.24
N,C2,O,ON,2.31
N,C2,O,ON,2.33
N,C2,O,ON,2.32
N,C2,O,ON,2.3
N,C2,O,ON,2.53
N,C2,O,ON,2.47
N,C3,O,ON,1.95
N,C3,O,ON,1.67
N,C3,O,ON,1.5
N,C3,O,ON,1.59
N,C3,O,ON,2.85
N,C3,O,ON,2.22
N,C3,O,ON,2.06
N,C3,O,ON,1.77
N,C3,O,ON,1.82
N,C3,O,ON,2.03
N,C4,O,ON,3.69
N,C4,O,ON,4.02
N,C4,O,ON,4.35
N,C4,O,ON,4.07
N,C4,O,ON,3.84
N,C4,O,ON,3.64
N,C4,O,ON,4.24
N,C4,O,ON,4.23
N,C4,O,ON,3.77
N,C4,O,ON,3.99
N,C5,O,ON,2.61
N,C5,O,ON,2.23
N,C5,O,ON,2.07
N,C5,O,ON,2.23
N,C5,O,ON,2.47
N,C5,O,ON,2.2
N,C5,O,ON,1.96
N,C5,O,ON,2.24
N,C5,O,ON,2.68
N,C5,O,ON,2.23
O,N1,N,NO,2.86
O,N1,N,NO,2.75
O,N1,N,NO,2.47
O,N1,N,NO,2.73
O,N1,N,NO,2.66
O,N1,N,NO,2.31
O,N1,N,NO,3.11
O,N1,N,NO,3.03
O,N1,N,NO,2.86
O,N1,N,NO,2.91
O,N2,N,NO,3.33
O,N2,N,NO,3.34
O,N2,N,NO,3.55
O,N2,N,NO,3.33
O,N2,N,NO,2.87
O,N2,N,NO,3.03
O,N2,N,NO,3.54
O,N2,N,NO,3.84
O,N2,N,NO,3.82
O,N2,N,NO,3.53
O,N3,N,NO,3.8
O,N3,N,NO,4.15
O,N3,N,NO,4.33
O,N3,N,NO,4.03
O,N3,N,NO,3.13
O,N3,N,NO,3.68
O,N3,N,NO,4.01
O,N3,N,NO,4.3
O,N3,N,NO,3.98
O,N3,N,NO,3.34
O,N4,N,NO,2.22
O,N4,N,NO,2.17
O,N4,N,NO,2.47
O,N4,N,NO,2.32
O,N4,N,NO,2.26
O,N4,N,NO,2.1
O,N4,N,NO,1.96
O,N4,N,NO,2.17
O,N4,N,NO,1.92
O,N4,N,NO,1.78
O,N5,N,NO,2.75
O,N5,N,NO,2.52
O,N5,N,NO,3.69
O,N5,N,NO,3.32
O,N5,N,NO,3.1
O,N5,N,NO,3.47
O,N5,N,NO,3.04
O,N5,N,NO,3.46
O,N5,N,NO,2.96
O,N5,N,NO,2.52
O,C1,O,OO,3.24
O,C1,O,OO,2.84
O,C1,O,OO,2.88
O,C1,O,OO,3.05
O,C1,O,OO,3.43
O,C1,O,OO,3.1
O,C1,O,OO,3.01
O,C1,O,OO,3.33
O,C1,O,OO,3.27
O,C1,O,OO,3.07
O,C2,O,OO,2.19
O,C2,O,OO,2
O,C2,O,OO,1.84
O,C2,O,OO,2.39
O,C2,O,OO,2.05
O,C2,O,OO,1.92
O,C2,O,OO,2.19
O,C2,O,OO,2.08
O,C2,O,OO,2.47
O,C2,O,OO,2.25
O,C3,O,OO,2.45
O,C3,O,OO,2.62
O,C3,O,OO,2.87
O,C3,O,OO,2.52
O,C3,O,OO,2.45
O,C3,O,OO,2.76
O,C3,O,OO,2.49
O,C3,O,OO,2.71
O,C3,O,OO,2.6
O,C3,O,OO,2.5
O,C4,O,OO,3.29
O,C4,O,OO,3.64
O,C4,O,OO,4.5
O,C4,O,OO,4.19
O,C4,O,OO,4.01
O,C4,O,OO,3.69
O,C4,O,OO,3.92
O,C4,O,OO,3.83
O,C4,O,OO,3.59
O,C4,O,OO,3.22
O,C5,O,OO,3.06
O,C5,O,OO,3.42
O,C5,O,OO,3.37
O,C5,O,OO,2.9
O,C5,O,OO,3.28
O,C5,O,OO,3.22
O,C5,O,OO,2.94
O,C5,O,OO,2.87
O,C5,O,OO,3.58
O,C5,O,OO,3.18